coleta,colonia,ambiente,cidade,emergencia,tratamento,id_vespa,teste,invisibility time,Explored areas,exploration_rate,total_distance,total time frozen,n_braco,atividade_t,
coleta_3,rur.pent.10,rural,pentecoste,antes_manejo,pobre,rur.pent.10.rosa-rosa,2,00:00:20,117,0.27,5163.93,00:00:05,2,0:04:55,
coleta_3,urb.pici.06,urbano,fortaleza,antes_manejo,rico,urb.pici.06.verde-amarelo,1,00:00:19,61,0.15,4306.25,00:00:51,3,0:04:09,
coleta_3,urb.pici.06,urbano,fortaleza,antes_manejo,pobre,urb.pici.06.verde-amarelo,3,00:00:04,34,0.08,1221.41,00:03:53,2,0:01:07,
coleta_3,urb.pici.06,urbano,fortaleza,antes_manejo,rico,urb.pici.06.verde-amarelo,2,00:00:08,33,0.08,1551.21,00:03:14,2,0:01:46,
coleta_3,urb.pici.06,urbano,fortaleza,antes_manejo,rico,urb.pici.06.verde-roxo,1,00:00:05,143,0.34,5626.72,00:01:36,8,0:03:24,
coleta_3,urb.pici.06,urbano,fortaleza,antes_manejo,rico,urb.pici.06.verde-roxo,2,00:00:11,130,0.34,8244.24,00:00:11,7,0:04:49,
coleta_3,urb.pici.06,urbano,fortaleza,antes_manejo,pobre,urb.pici.06.verde-roxo,3,00:00:14,58,0.14,2243.28,00:03:08,4,0:01:52,
coleta_3,urb.pici.06,urbano,fortaleza,antes_manejo,pobre,urb.pici.06.verde-roxo,4,00:00:31,87,0.22,7484.18,00:00:14,5,0:04:46,
coleta_3,urb.pici.06,urbano,fortaleza,antes_manejo,rico,urb.pici.06.verde-sm,1,00:00:00,8,0.02,446.80,00:04:05,1,0:00:55,
coleta_3,urb.pici.06,urbano,fortaleza,antes_manejo,rico,urb.pici.06.verde-sm,2,00:00:09,56,0.13,2229.45,00:02:30,4,0:02:30,
coleta_3,urb.pici.06,urbano,fortaleza,antes_manejo,rico,urb.pici.06.vermelho-verde,2,00:00:13,153,0.38,7578.83,00:00:35,8,0:04:25,
coleta_3,urb.pici.06,urbano,fortaleza,antes_manejo,rico,urb.pici.06.vermelho-verde,1,00:00:28,114,0.28,5835.20,00:00:35,7,0:04:25,
coleta_3,urb.pici.06,urbano,fortaleza,antes_manejo,pobre,urb.pici.06.vermelho-verde,3,00:00:11,97,0.24,4544.77,00:01:58,5,0:03:02,
coleta_3,urb.pici.06,urbano,fortaleza,antes_manejo,pobre,urb.pici.06.vermelho-verde,4,00:00:42,123,0.31,7266.75,00:00:31,7,0:04:29,
coleta_3,urb.pici.07,urbano,fortaleza,antes_manejo,pobre,urb.pici.07.branco-branco,1,00:00:00,10,0.02,414.49,00:04:31,1,0:00:29,
coleta_3,urb.pici.07,urbano,fortaleza,antes_manejo,pobre,urb.pici.07.branco-branco,2,00:00:06,73,0.18,4050.75,00:02:40,3,0:02:20,
coleta_3,urb.pici.07,urbano,fortaleza,antes_manejo,rico,urb.pici.07.branco-branco,3,00:00:05,46,0.11,2311.77,00:03:40,2,0:01:20,
coleta_3,urb.pici.07,urbano,fortaleza,antes_manejo,pobre,urb.pici.07.branco-rosa,1,00:00:13,95,0.24,4154.00,00:01:34,7,0:03:26,
coleta_3,urb.pici.07,urbano,fortaleza,antes_manejo,pobre,urb.pici.07.branco-rosa,2,00:00:30,84,0.21,3448.53,00:01:53,5,0:03:07,
coleta_3,urb.pici.07,urbano,fortaleza,antes_manejo,rico,urb.pici.07.branco-rosa,3,00:00:16,7,0.02,444.13,00:03:49,1,0:01:11,
coleta_3,urb.pici.07,urbano,fortaleza,antes_manejo,rico,urb.pici.07.branco-rosa,4,00:00:14,58,0.14,2715.93,00:02:39,3,0:02:21,
coleta_3,urb.pici.08,urbano,fortaleza,depois_manejo,pobre,urb.pici.08.azul-branco,3,00:00:04,6,0.01,542.35,00:03:51,0,0:01:09,
coleta_3,urb.pici.08,urbano,fortaleza,depois_manejo,pobre,urb.pici.08.azul-branco,4,00:00:27,64,0.16,4112.30,00:01:12,3,0:03:48,
coleta_3,urb.pici.08,urbano,fortaleza,antes_manejo,rico,urb.pici.08.roxo-roxo,1,00:00:00,12,0.03,335.75,00:04:32,1,0:00:28,
coleta_3,urb.pici.08,urbano,fortaleza,antes_manejo,pobre,urb.pici.08.roxo-roxo,3,00:00:00,2,0.01,14.86,00:04:58,1,0:00:02,
coleta_3,urb.pici.08,urbano,fortaleza,antes_manejo,pobre,urb.pici.08.roxo-roxo,4,00:00:17,84,0.20,2352.00,00:00:26,4,0:04:34,
coleta_3,urb.pici.08,urbano,fortaleza,depois_manejo,pobre,urb.pici.08.rosa-azul,3,00:00:12,97,0.24,4356.69,00:00:23,5,0:04:37,
coleta_4,rur.eeep.11,rural,guaiuba,depois_manejo,rico,rur.eeep.11.azul-azul,1,00:00:33,123,0.29,8302.76,00:00:03,7,0:04:57,
coleta_4,rur.eeep.11,rural,guaiuba,depois_manejo,pobre,rur.eeep.11.azul-azul,3,00:00:41,32,0.14,1487.84,00:02:25,4,0:02:35,
coleta_4,rur.eeep.11,rural,guaiuba,depois_manejo,pobre,rur.eeep.11.azul-azul,2,00:00:58,29,0.07,1376.09,00:02:49,3,0:02:11,
coleta_4,rur.eeep.12,rural,guaiuba,depois_manejo,pobre,rur.eeep.12.amarelo-azul,2,00:00:28,106,0.25,7549.40,00:00:16,6,0:04:44,
coleta_4,rur.eeep.12,rural,guaiuba,depois_manejo,rico,rur.eeep.12.amarelo-azul,1,00:00:00,0,0,0,00:05:00,0,0:00:00,
coleta_4,urb.ceac.09,urbano,eusebio,antes_manejo,rico,urb.ceac.09.roxo-branco,2,00:00:29,71,0.17,4344.51,00:00:25,5,0:04:35,
coleta_4,urb.ceac.09,urbano,eusebio,antes_manejo,rico,urb.ceac.09.roxo-branco,3,00:00:01,27,0.06,1016.30,00:03:33,3,0:01:27,
coleta_4,urb.ceac.09,urbano,eusebio,antes_manejo,pobre,urb.ceac.09.verde-rosa,3,00:00:15,67,0.16,4603.02,00:00:53,4,0:04:07,
coleta_4,urb.ceac.09,urbano,eusebio,antes_manejo,rico,urb.ceac.09.verde-rosa,1,00:00:27,65,0.15,4253.98,00:00:49,5,0:04:11,
coleta_4,urb.ceac.09,urbano,eusebio,antes_manejo,rico,urb.ceac.09.vermelho-branco,2,00:00:46,50,0.13,1779.92,00:02:33,4,0:02:27,
coleta_4,urb.ceac.09,urbano,eusebio,antes_manejo,rico,urb.ceac.09.vermelho-branco,3,00:00:27,67,0.16,3602.82,00:01:19,4,0:03:41,vespa oculta em parte do vídeo
